DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2000,4100,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2001,4518,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2002,4927,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2003,5485,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2004,6161,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2005,6831,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2006,7853,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2007,9866,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2008,10820,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2009,10472,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2010,10827,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2011,11086,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2012,11740,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2013,12382,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2014,13112,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2015,13639,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2016,14540,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2017,15543,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2018,17086,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2019,18437,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2020,19237,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2021,21131,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,2022,22933,
