id,name,nicknames,games,points_avg,total_rebounds,assists,fg_percent,field_goals,per,win_shares
7966,Mark Andre West,"
(The Hammer)
",1090,5.7,4.9,0.4,58.0,0.0,12.0,41.9
7967,Roland D. West,,4,1.0,1.3,0.0,40.0,-,6.8,0.0
7968,Dexter Westbrook,,12,4.0,1.9,0.4,48.7,-,7.0,0.3
7969,Russell Westbrook III,"
(The Brodie, Russ, Beastbrook, Mr. Triple Double)
",1094,22.4,7.3,8.4,43.8,30.5,22.2,108.4
7970,Paul Douglas Westphal,"
(Westy)
",823,15.6,1.9,4.4,50.4,27.5,19.4,67.7
7972,Robert Antawon Whaley,,23,2.1,1.9,0.7,40.4,-,7.6,0.0
7973,Ennis Whatley,,385,5.6,1.8,4.6,46.8,9.7,13.0,9.6
7974,DeJuan Shontez Wheat,,80,3.3,0.7,1.6,38.3,39.0,12.9,0.5
7975,Clinton Wheeler,,87,2.9,0.8,1.8,48.9,0.0,12.3,1.1
7976,Tyson Aaron Wheeler,,1,4.0,0.0,2.0,100.0,100.0,76.1,0.1
7977,Lucian Cary Whitaker,,3,0.7,0.3,0.3,16.7,-,-8.9,-0.1
7978,Andrew Jackson White III,,15,4.6,2.3,0.4,34.2,36.7,5.8,-0.1
7979,Alec Jacoby White,,269,12.6,3.4,3.3,41.9,36.7,12.2,8.8
7980,DeWayne White,,138,5.9,3.2,0.6,50.7,33.3,14.5,3.8
7981,Derrick White,,345,11.7,3.4,3.8,44.7,35.2,15.3,22.7
7982,Eric Lance White,,55,6.1,2.4,0.5,52.5,100.0,12.5,1.3
7983,Herbert Thomas White,,38,2.4,1.3,1.2,40.5,56.4,8.4,0.1
7984,Hubert White Jr.,,120,4.8,2.2,0.9,36.6,18.0,8.5,-0.8
7985,Jackson Thomas White,,17,1.2,1.0,0.2,42.1,33.3,12.6,0.1
7986,Jahidi White,,334,5.9,5.8,0.2,51.0,0.0,14.2,10.4
7987,James William White IV,"
(Flight)
",67,2.7,1.0,0.5,43.8,34.0,9.9,0.8
7988,Joseph Henry White,,837,17.2,4.0,4.9,44.4,16.7,14.2,54.0
7989,Okaro White,,44,2.7,2.2,0.5,38.1,34.0,7.6,0.8
7990,Randy White,,281,7.4,4.9,0.6,40.1,19.3,11.0,1.9
