id,season,age,tm,lg,pos,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id
12288,1968-69,24,dlc,aba,c,7,"",18.7,2.3,4.4,.516,0.0,0.0,"",2.3,4.4,.516,.516,1.0,1.9,.538,"","",6.0,1.1,,,0.6,2.7,5.6,7372
12289,1969-70,25,nya,aba,c,2,"",5.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,"","","",1.0,0.0,,,"","",0.0,7372
12290,2007-08,22,atl,nba,pf,7,7,33.9,5.0,12.6,.398,0.4,2.6,.167,4.6,10.0,.457,.415,5.3,6.3,.841,1.0,5.4,6.4,2.9,1.7,2.9,3.7,3.7,15.7,7373
12291,2008-09,23,atl,nba,pf,11,11,37.3,6.1,14.5,.421,0.2,1.4,.133,5.9,13.1,.451,.428,4.7,6.5,.732,2.2,5.3,7.5,2.2,1.1,1.5,1.9,3.3,17.1,7373
12292,2009-10,24,atl,nba,pf,11,11,35.6,5.6,11.7,.481,0.2,0.5,.333,5.5,11.2,.488,.488,2.6,4.0,.659,3.4,5.6,9.0,2.6,1.2,1.7,1.5,2.7,14.1,7373
12293,2010-11,25,atl,nba,pf,12,12,36.5,5.8,14.3,.404,0.3,2.0,.125,5.5,12.3,.449,.412,3.3,5.6,.597,1.5,7.0,8.5,2.9,1.1,2.1,2.2,3.3,15.1,7373
12294,2011-12,26,atl,nba,pf,5,5,39.2,6.8,17.6,.386,0.0,0.8,.000,6.8,16.8,.405,.386,3.2,4.2,.762,2.0,11.6,13.6,4.8,0.6,1.0,3.0,2.8,16.8,7373
12295,2012-13,27,atl,nba,pf,6,6,33.2,6.5,15.0,.433,0.8,3.3,.250,5.7,11.7,.486,.461,3.2,6.0,.528,1.7,5.8,7.5,3.5,1.8,0.5,2.7,3.5,17.0,7373
12296,2014-15,29,hou,nba,pf,17,8,23.3,5.0,11.4,.438,1.6,4.2,.380,3.4,7.2,.472,.508,1.9,4.4,.432,1.5,4.1,5.6,2.7,0.5,1.0,2.2,2.4,13.5,7373
12297,2015-16,30,hou,nba,pf,4,0,9.5,1.5,3.3,.462,1.0,2.0,.500,0.5,1.3,.400,.615,0.0,0.5,.000,0.3,0.3,0.5,1.0,0.3,0.3,1.3,1.8,4.0,7373
12298,1990-91,25,hou,nba,pg,3,3,37.7,6.0,12.7,.474,0.7,1.3,.500,5.3,11.3,.471,.500,2.7,3.0,.889,1.3,1.3,2.7,8.0,1.3,0.3,2.0,1.7,15.3,7376
12299,1992-93,27,hou,nba,pg,12,12,32.6,5.3,10.7,.492,1.9,3.8,.500,3.3,6.8,.488,.582,2.3,3.0,.778,0.2,1.8,2.0,4.2,0.8,0.1,2.2,1.5,14.8,7376
12300,1993-94,28,hou,nba,pg,23,23,30.3,3.7,8.2,.455,1.5,3.3,.447,2.3,4.9,.460,.545,1.8,2.3,.808,0.2,2.1,2.3,4.1,1.0,0.2,1.4,1.7,10.8,7376
12301,1994-95,29,hou,nba,pg,22,22,29.6,3.5,8.1,.438,2.1,4.7,.442,1.5,3.4,.432,.567,1.6,1.8,.900,0.3,1.9,2.2,4.5,0.6,0.1,1.4,2.1,10.8,7376
12302,1995-96,30,hou,nba,pg,8,8,23.9,2.9,6.6,.434,1.5,3.9,.387,1.4,2.8,.500,.547,1.6,1.6,1.000,0.5,1.0,1.5,4.8,0.6,0.0,1.0,1.8,8.9,7376
12303,1986-87,29,gsw,nba,pf,10,10,32.9,4.3,8.1,.531,0.0,0.0,"",4.3,8.1,.531,.531,1.7,2.4,.708,6.1,7.6,13.7,1.7,1.2,0.6,1.4,3.9,10.3,7378
12304,1988-89,31,gsw,nba,pf,8,8,18.5,0.5,2.0,.250,0.0,0.0,"",0.5,2.0,.250,.250,0.0,0.0,"",2.1,2.9,5.0,2.0,0.8,1.4,0.8,3.0,1.0,7378
12305,1989-90,32,hou,nba,pf,4,0,18.3,1.5,2.0,.750,0.0,0.0,"",1.5,2.0,.750,.750,0.0,0.0,"",1.8,1.5,3.3,1.3,1.0,0.0,1.3,2.8,3.0,7378
12306,1990-91,33,hou,nba,pf,3,0,19.0,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,0.0,0.3,.000,2.0,2.3,4.3,1.3,0.3,0.3,0.7,3.7,0.7,7378
12307,1992-93,35,sas,nba,pf,6,0,8.3,0.3,0.5,.667,0.0,0.0,"",0.3,0.5,.667,.667,0.5,0.7,.750,1.3,1.3,2.7,0.2,0.7,0.3,0.2,2.7,1.2,7378
12308,1989-90,24,bos,nba,pf,4,0,4.0,1.3,2.0,.625,0.0,0.5,.000,1.3,1.5,.833,.625,1.8,1.8,1.000,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,4.3,7380
12309,1990-91,25,bos,nba,pf,2,0,3.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,"",0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,7380
12310,1995-96,23,sac,nba,pf,4,0,21.8,1.8,3.0,.583,0.0,0.0,"",1.8,3.0,.583,.583,1.3,2.8,.455,1.8,3.8,5.5,2.0,0.3,0.5,0.5,3.5,4.8,7380
